Schema,Table,Description,Row Count,Dependency Level,Confidence %,User Approved,Business Domains,Inferred Purpose
dbo,AWBuildVersion,A system metadata table that stores the current version and build information of the database schema. It typically contains a single row representing the state of the database deployment.,1,0,100,No,,
dbo,DatabaseLog,"A central audit log that records Data Definition Language (DDL) changes and database modifications. It captures details about schema changes, object creations, and administrative actions to provide a historical record of the database's structural evolution.",1596,0,100,No,,
dbo,ErrorLog,"A central repository for logging database-related errors, typically populated by TRY...CATCH blocks within stored procedures or triggers to facilitate troubleshooting and auditing.",0,0,100,No,,
HumanResources,Department,A lookup table that defines the organizational departments within the company and categorizes them into broader functional groups.,16,0,100,No,,
HumanResources,Employee,"Serves as the central registry for current employee data, representing individuals who have successfully transitioned from recruitment to active employment. It maintains a point-in-time snapshot of professional attributes, organizational hierarchy, and benefit balances, while notably excluding direct compensation data which is managed via time-series history for auditing purposes. It acts as the primary anchor for historical role changes, document ownership, and specialized operational responsibilities including procurement and a distinct subset of sales personnel.",290,0,100,No,,
HumanResources,EmployeeDepartmentHistory,"This table tracks the historical and current assignments of employees to specific departments and work shifts. It serves as a ledger for organizational movement, recording when an employee started and ended their tenure in a particular department and shift combination.",296,0,100,No,,
HumanResources,EmployeePayHistory,"This table maintains a historical record of employee compensation changes. It tracks the specific pay rate, the date the rate took effect, and the frequency of payment for every employee, allowing the organization to audit salary progression over time.",316,1,100,No,,
HumanResources,JobCandidate,"Stores resumes and application information for job seekers. It acts as a repository for candidate profiles, which can be linked to existing employee records if the candidate is an internal applicant or a successful hire.",13,0,100,No,,
HumanResources,Shift,"A lookup table that defines the standard work shifts within the organization, specifying the names and time boundaries (start and end times) for daily work periods.",3,0,100,No,,
Person,Address,"The Person.Address table serves as a centralized repository for physical address information within the database. It stores street-level details, city, postal codes, and geographic coordinates, providing a standardized way to associate locations with individuals, business entities, and sales orders.",19614,0,95,No,,
Person,AddressType,"A foundational lookup table that defines the various categories or purposes of addresses within the system, such as Billing, Shipping, or Home. It is used to classify the relationship between business entities and their physical locations.",6,0,100,No,,
