Schema,Table,Description,Row Count,Dependency Level,Confidence %,User Approved,Business Domains,Inferred Purpose
dbo,AWBuildVersion,"A singleton system metadata table that stores version and build information for the AdventureWorks database itself. It tracks the current database version number, when that version was released, and when the record was last modified. This table serves as a self-documenting artifact for database administrators and deployment pipelines to identify which version of the database schema is installed.",1,0,97,No,,
dbo,DatabaseLog,"A database-level audit log that records all DDL (Data Definition Language) events executed against the AdventureWorks2019 database. Each row captures a single DDL statement execution, including the event type, the T-SQL command issued, the database object affected, and a full XML representation of the event instance. This table serves as a historical record of schema creation and modification activities, primarily capturing the initial database build/deployment script execution.",1596,0,99,No,,
dbo,ErrorLog,"A system-level audit table that records database errors encountered during stored procedure or batch execution. It captures detailed information about each error event, including when it occurred, who triggered it, and the specific error details such as number, severity, state, procedure name, line number, and message. This table serves as a centralized error logging mechanism for the AdventureWorks database.",0,0,98,No,,
HumanResources,Department,"A lookup/reference table that stores the organizational departments within the company. Each row represents a distinct department, categorized under a broader functional group. This table serves as the foundational reference for employee department assignments tracked in HumanResources.EmployeeDepartmentHistory.",16,0,99,No,,
HumanResources,Employee,"Stores employment-specific information for all 290 employees at AdventureWorks. This table extends Person.Person with HR-specific attributes such as job title, organizational hierarchy position, national ID, login credentials, hire date, compensation type, and leave balances. It represents the core employee record in the HumanResources domain and serves as the anchor for pay history, department assignments, job candidacy, and sales/purchasing roles.

Compensation data reveals that the majority of employees (approximately 264 of 290) have only their initial pay rate on record, with ~26 having received at least one pay rate change. Pay rates range from $6.50 to $37.50 per hour, and two distinct payroll cycles (PayFrequency values 1 and 2) distinguish likely hourly/non-exempt workers from salaried/exempt employees. Department assignments are notably stable, with only ~6 employees having transfer records, confirming that EmployeeDepartmentHistory is a sparse audit trail rather than a frequently updated record.

The table also anchors several specialized workforce subsets: only 17 employees (BusinessEntityIDs 274–290) are designated salespeople, confirming Sales.SalesPerson as a small, dedicated specialization of this table. Purchasing authority is similarly restricted to a dedicated procurement team of 12 employees, and document management is concentrated among just 3 employees — both patterns reflecting role-based access controls anchored here. Additionally, this table serves as the destination for a pre-hire pipeline: HumanResources.JobCandidate tracks applicants, but only a small fraction (2 of 13 sampled candidates) are converted to employees.",290,0,99,No,,
HumanResources,EmployeeDepartmentHistory,"Tracks the historical record of employee department and shift assignments over time within AdventureWorks. Each row represents a period during which an employee was assigned to a specific department and work shift, with start and optional end dates defining the duration of that assignment. This is a slowly changing dimension (Type 2) table that preserves the full history of department/shift changes for each employee.",296,0,98,No,,
HumanResources,EmployeePayHistory,"Stores the historical pay rate records for employees at AdventureWorks, tracking changes in compensation over time. Each row represents a specific pay rate effective from a given date for an employee, enabling a full audit trail of salary/wage changes. This is the HumanResources.EmployeePayHistory table.",316,1,98,No,,
HumanResources,JobCandidate,"Stores job candidate applications and their associated resumes for the AdventureWorks company. Each record represents a single job applicant, optionally linked to an existing employee if the candidate was subsequently hired. The resume is stored as structured XML containing personal information, employment history, education, skills, and contact details.",13,0,99,No,,
HumanResources,Shift,"A lookup/reference table defining the work shifts used in the organization. It stores the three standard work shifts (Day, Evening, Night) with their respective start and end times, serving as a foundational reference for employee scheduling and department history tracking.",3,0,99,No,,
Person,Address,"Stores physical address information for persons, businesses, and other entities in the AdventureWorks database. Each row represents a unique mailing or shipping address including street, city, state/province, postal code, and geographic coordinates. This table serves as a central address repository referenced by sales orders and business entity address associations. Notably, addresses are not shared between business entities — each business entity association uses a distinct address record, meaning duplicate physical locations are stored as separate rows rather than being reused across entities.",19614,0,97,No,,
Person,AddressType,"A lookup/reference table that defines the types of addresses used throughout the system. It categorizes addresses into distinct types such as Billing, Shipping, Home, Primary, Main Office, and Archive, enabling consistent classification of addresses associated with business entities. In practice, only 3 of the 6 defined address types are actively used in business entity address associations (IDs 2, 3, and 5), with type 2 being the most frequently used. The remaining types (Billing, Home, Archive, or others) appear to be defined for potential use but are not currently utilized in the system.",6,0,97,No,,
Person,BusinessEntity,"The foundational polymorphic identity table for the AdventureWorks database, serving as the root identity record for all business entities across multiple distinct subtypes. Every entity in the system — whether an individual person (of 6 types: individual customers, store contacts, general contacts, employees, vendor contacts, and salespersons), a vendor organization, or a retail/wholesale store — must first exist as a record in this table, which assigns a unique BusinessEntityID. The table contains only three columns: an identity key, a rowguid for replication, and a ModifiedDate for auditing, reflecting its role as a pure identity registry rather than a data store. With 20,777 total records, individual persons (via Person.Person) account for approximately 19,972 records (~96%), making them the dominant subtype. Vendor organizations occupy a higher ID range (~1500–1690), while store entities use IDs in the range 304–1944, suggesting entities were registered in batches or phases. The remaining ~805 records (~4%) represent non-person organizational entities (vendors and stores), which notably do not have email addresses in the system — email addresses are exclusively assigned to person-type entities, further reinforcing the distinction between person and organizational subtypes. The table also anchors address associations (with ~19,579 entities having at least one address) and organizational contact relationships (805 organizational entities with named contact persons). This table acts as the true polymorphic anchor for the entire entity hierarchy, enabling a table-per-type inheritance pattern across persons, vendors, and stores.",20777,0,99,No,,
Person,BusinessEntityAddress,"A junction/bridge table that associates business entities (persons, vendors, stores) with their physical addresses and categorizes each association by address type. This table implements a many-to-many relationship between business entities and addresses, allowing a single entity to have multiple addresses of different types simultaneously. The six address types (Billing, Shipping, Home, Primary, Main Office, Archive) reveal a dual-purpose design: commercial entities (vendors, stores) typically use Billing, Shipping, and Main Office address types, while individual persons use Home and Primary address types. It serves as the central linking mechanism for address data across the AdventureWorks system and is referenced by sales order processing.",19614,0,98,No,,
Person,BusinessEntityContact,"A junction/bridge table that associates persons with business entities and defines the nature of their contact relationship via a contact type. Each record represents a specific person acting in a specific role for a given business entity such as a vendor or store. This table enables many-to-many relationships between business entities and persons, with the contact type clarifying the role of the person within that entity. Contact roles span multiple functional domains including sales (Sales Representative, Sales Manager, Sales Associate, Sales Agent, Assistant Sales Representative, Assistant Sales Agent, Regional Account Representative), purchasing (Purchasing Manager, Purchasing Agent), marketing (Marketing Manager, Marketing Representative, Marketing Assistant, International Marketing Manager, Product Manager), ownership (Owner, Owner/Marketing Assistant), and administrative roles (Order Administrator, Export Administrator, Coordinator Foreign Markets, Accounting Manager). With 909 rows and 805 distinct BusinessEntityIDs, some business entities have multiple contacts serving different functional roles.",909,0,98,No,,
Person,ContactType,"A lookup/reference table that defines the types of contacts (roles) that can be associated with business entities. It stores a predefined set of 20 contact role classifications such as Sales Representative, Purchasing Manager, Marketing Assistant, etc., used to categorize the nature of a person's relationship with a business entity. However, only 7 of the 20 defined contact types are actively used in practice (IDs: 2, 11, 14, 15, 17, 18, 19), with contact types 11 and 15 being the most frequently assigned roles. The remaining 13 contact types are defined but currently unused, indicating the table was pre-populated with a broader taxonomy than is currently needed by the business.",20,0,98,No,,
Person,CountryRegion,"A reference/lookup table storing all countries and regions of the world, identified by their ISO 3166-1 alpha-2 country codes. This foundational table serves as a geographic reference used throughout the AdventureWorks database for associating currencies, sales territories, and other entities with specific countries or regions. The table supports historical multi-currency country associations, as evidenced by some countries being mapped to multiple currencies (e.g., European countries linked to both legacy national currencies and EUR). While all 238 country/region codes are available as a global reference, only 6 are actively used in the sales domain: United States (US), United Kingdom (GB), France (FR), Germany (DE), Canada (CA), and Australia (AU), with the US being the primary sales market spanning at least 5 territories.",238,0,99,No,,
Person,EmailAddress,"Stores email addresses for persons registered in the AdventureWorks system. Each record associates a unique email address with a specific person (via BusinessEntityID), enabling contact and authentication functionality. This table supports a one-to-one relationship between persons and their primary email addresses, serving as the email contact repository for all ~19,972 registered system users.",19972,1,99,No,,
Person,Password,"Stores authentication credentials (password hash and salt) for persons registered as system users in the AdventureWorks application. Each record links a person's identity (via BusinessEntityID) to their securely hashed password, enabling login authentication for the ~19,972 individuals who have registered accounts.",19972,0,98,No,,
Person,Person,"Stores personal information for all individuals in the AdventureWorks system, including customers, employees, vendors, and other contacts. This table is the central identity repository for person-level data such as names, titles, contact preferences, demographic survey data, and additional contact information. It extends the Person.BusinessEntity base table by adding person-specific attributes and serves as the foundation for multiple specialized roles (employees, customers, etc.).

Key characteristics of the population: The table contains 20,000+ person records, of which the vast majority (~19,119 out of ~19,820 customers) are customers, while only ~290 are employees (a small specialized subset). Approximately 19,972 are registered system users with password credentials, and every registered system user has exactly one email address on file (confirmed by a strict 1:1 mandatory relationship between Person.Password and Person.EmailAddress records). Additionally, ~19,118 persons have credit cards on file, indicating broad purchasing capability, and ~19,972 have at least one phone number recorded. The table distinguishes between 'known contacts' (all persons) and 'active system users' (only those with a corresponding Person.Password record). Each person serves as a unique identity record — the one-to-one relationship with HumanResources.Employee means employment attributes are stored separately while personal details (name, contact info) remain here.",19972,0,99,No,,
Person,PersonPhone,"Stores phone numbers associated with persons in the AdventureWorks system. This is a junction/association table that links persons (via Person.Person) to their phone numbers, categorized by phone number type (Cell, Home, Work via Person.PhoneNumberType). A single person may have multiple phone numbers of different types, making this a one-to-many extension of the Person.Person table for contact information.",19972,0,97,No,,
Person,PhoneNumberType,"A lookup/reference table that defines the types of phone numbers supported in the system. It stores exactly three phone number categories (Cell=1, Home=2, Work=3) used to classify contact phone numbers throughout the database. Cell and Home phone types are more frequently recorded than Work phones, reflecting typical personal contact data patterns.",3,0,99,No,,
Person,StateProvince,"Stores reference data for states, provinces, and other sub-national geographic divisions used throughout the AdventureWorks database. Each record represents a unique state or province within a country or region, identified by a short code and full name, and linked to a sales territory for business reporting purposes. This table serves as a geographic lookup used by addresses and sales tax rates.",181,1,98,No,,
Production,BillOfMaterials,"The Bill of Materials (BOM) table for Adventure Works Cycles, storing the hierarchical structure of product assemblies. Each record defines a parent-child relationship between a product assembly and one of its component parts, including the quantity needed, the unit of measure, the BOM level in the hierarchy, and the date range during which this component relationship is valid. This table enables manufacturing to understand what parts and sub-assemblies are required to build finished products.",2679,0,99,No,,
Production,Culture,"A lookup/reference table that stores the supported cultures (languages and locales) used in the AdventureWorks system. It defines the set of languages in which product descriptions and other content can be localized, serving as a foundational reference for internationalization support. The table contains entries for the invariant culture plus 6 active localization targets — English (en), French (fr), Arabic (ar), Thai (th), Traditional Chinese (zh-cht), and Hebrew (he) — reflecting the specific geographic and linguistic markets that Adventure Works Cycles supports for its product catalog.",8,0,97,No,,
Production,Document,"Stores document metadata and content for the AdventureWorks document management system. Each record represents a document (such as product manuals, maintenance guides, assembly instructions) organized in a hierarchical folder structure. Documents contain binary content (typically Word files), summaries, revision tracking, and ownership information linking to employees. The table contains a small, curated set of documents (only ~6 distinct document nodes) that are broadly shared across many products (32+), indicating these are general-purpose, product-family-level resources — such as shared maintenance guides, universal assembly instructions, or category-wide manuals — rather than product-specific documentation.",13,0,98,No,,
Production,Illustration,"Stores technical illustration diagrams for product models, represented as XAML/XML vector graphics. Each record contains a unique illustration identifier and its corresponding diagram data exported from Adobe Illustrator CS as XAML for use in WPF/Silverlight Viewbox rendering. The table contains at least 6 illustrations, and individual illustrations are designed to be reusable across multiple product models — for example, illustrations IDs 3, 4, and 5 are shared across different product model families, indicating these diagrams represent common component types (e.g., shared mechanical parts or assemblies) rather than being exclusive to a single product model. These illustrations are linked to product models through the Production.ProductModelIllustration junction table.",5,0,97,No,,
