Schema,Table,Description,Row Count,Dependency Level,Confidence %,User Approved,Business Domains,Inferred Purpose
dbo,Categories,A foundational lookup table defining the 8 distinct business segments used to classify the company's 77-item product line. It provides descriptive metadata and visual representation for these high-level inventory groupings.,0,0,100,No,,
dbo,CustomerCustomerDemo,A junction table that facilitates a many-to-many relationship between customers and demographic classifications. It allows individual customers to be associated with multiple demographic segments for advanced marketing and reporting purposes.,0,0,100,No,,
dbo,CustomerDemographics,A lookup table that defines demographic categories used to segment the customer base. These classifications are specifically designed to be mapped to entities in the dbo.Customers table through a many-to-many relationship.,0,0,98,No,,
dbo,Customers,"The dbo.Customers table serves as a master directory for business entities, storing comprehensive profile information, contact details, and location data. It functions as a central hub for a sophisticated CRM system, supporting multi-dimensional demographic segmentation through junction tables and providing the primary entity for transactional behavior analysis, with 89 unique customers currently linked to order history.",91,0,100,No,,
dbo,Employees,"Stores comprehensive employee profiles and manages a recursive, tree-based organizational hierarchy. While serving as a general personnel registry, the table specifically identifies a small, specialized subset of nine employees who are authorized to manage territories and process sales orders.",0,0,100,No,,
dbo,EmployeeTerritories,A junction table that maps employees to specific geographic sales territories. It establishes a many-to-many relationship between the sales staff and the regions they are responsible for managing.,49,0,100,No,,
dbo,Order Details,"This table, dbo.Order Details, serves as a line-item registry for sales transactions. It breaks down each order into its constituent products, recording the specific price, quantity, and discount applied to each item at the time of sale.",2155,0,100,No,,
dbo,Orders,"The dbo.Orders table serves as the primary header for sales transactions, capturing high-level metadata for every order placed. It records the customer involved, the employee responsible for the sale, key fulfillment dates (order, required, and shipped), the logistics provider used, and detailed shipping destination information.",830,0,100,No,,
dbo,Products,"The dbo.Products table serves as the central catalog for all items sold by the business. It maintains detailed information about product names, packaging, pricing, and real-time inventory levels, while linking each item to its respective vendor and category classification.",77,0,100,No,,
dbo,Region,"A foundational lookup table that defines the primary geographical regions (Eastern, Western, Northern, Southern) used by the organization. It serves as the top tier of the geographic sales structure, acting as a high-level container for grouping multiple specific territories.",4,0,100,No,,
dbo,Shippers,"A lookup table that stores information about the shipping companies (carriers) used by the organization. The organization employs a highly consolidated logistics strategy, relying on exactly three specific providers to fulfill all 830 recorded orders.",3,0,100,No,,
dbo,Suppliers,A master lookup table containing detailed information about the 29 external vendors and organizations that supply the company's product range. It serves as the foundation for a diverse supply chain where individual suppliers may provide multiple products to the inventory.,29,0,100,No,,
dbo,Territories,"This table defines specific geographical sales territories, typically identified by zip codes and city names, and assigns them to broader organizational regions. It serves as a lookup for sales operations where each territory is exclusively assigned to a single employee, ensuring distinct geographical ownership for the sales force.",53,0,100,No,,
