Schema,Table,Description,Row Count,Dependency Level,Confidence %,User Approved,Business Domains,Inferred Purpose
dbo,Album,"Stores metadata for music albums, acting as a logical container that groups tracks under a specific title and primary artist entity. While it organizes the library hierarchy, it does not enforce uniform authorship, as individual track composers are maintained independently within the Track table.",347,1,100,No,,
dbo,Artist,"A foundational lookup table that stores the names of musical artists, bands, classical composers, and television series soundtracks, representing the diverse range of creators and source entities within the multi-genre media library.",275,0,100,No,,
dbo,Customer,"The dbo.Customer table stores current profile and contact information for a global base of individual and corporate clients across at least 24 countries. It serves as a central CRM hub, linking customers to assigned support staff and providing the master identity for billing and invoicing. While this table maintains the active customer profile, historical billing details are preserved within individual invoice records to ensure transactional accuracy even if the customer's primary contact information changes.",59,0,100,No,,
dbo,Employee,"The dbo.Employee table serves as the primary repository for personnel records within the Chinook organization, managing a small, flat team of 8 staff members. It defines the internal organizational hierarchy—led by a General Manager (Andrew Adams)—and identifies specific employees who function as Support Representatives, serving as the primary point of contact for the company's customer base.",8,0,100,No,,
dbo,Genre,"A lookup table that defines the various musical and media genres available in the database, such as Rock, Jazz, and TV Shows.",25,0,100,No,,
dbo,Invoice,"The dbo.Invoice table serves as the header-level record for sales transactions, specifically for digital music tracks. It captures essential metadata for each purchase, including the customer, transaction date, total monetary value, and billing address. On average, each transaction consists of approximately 5.4 tracks.",412,1,100,No,,
dbo,InvoiceLine,"The dbo.InvoiceLine table functions as a line-item detail table that breaks down each sales transaction into its individual components. It records the specific tracks purchased, the price at which they were sold, and the quantity for each item within a larger invoice.",2240,3,100,No,,
dbo,MediaType,"A lookup table that defines the various digital file formats for tracks in the music library. These media types categorize content into audio and video formats, which directly correlate with different pricing tiers (typically $0.99 for audio and $1.99 for video) in the associated Track table.",5,0,100,No,,
dbo,Playlist,"A foundational lookup table defining the 14 primary organizational containers for the media library. It categorizes tracks into logical groups such as media types (Movies, TV Shows), genres (90’s Music, Heavy Metal Classic), or curated collections (Classical 101), serving as the top-level structure for media organization.",18,0,100,No,,
dbo,PlaylistTrack,"A junction table that facilitates a many-to-many relationship between playlists and tracks, allowing individual media items to be organized into multiple curated collections or categories.",8715,0,100,No,,
dbo,Track,"The dbo.Track table serves as the central repository for individual media items (songs, videos, or episodes) within the digital store. It stores descriptive metadata, technical specifications, and pricing information—primarily following a tiered structure of 0.99 or 1.99—for each track, while linking to albums, genres, and media formats.",3503,2,100,No,,
