Schema,Table,Column,Data Type,Is Nullable,Is Primary Key,Is Foreign Key,Foreign Key References,Description,Confidence %,Check Constraint,Default Value
dbo,AWBuildVersion,SystemInformationID,tinyint,No,Yes,No,,Unique identifier for the single system information record in dbo.AWBuildVersion; it exists to provide a stable primary key for the singleton row.,,,
dbo,AWBuildVersion,Database Version,nvarchar,No,No,No,,The installed database build/version string for the AdventureWorks database.,,,
dbo,AWBuildVersion,VersionDate,datetime,No,No,No,,"The date and time associated with the recorded database version, likely when this build information was generated or released.",,,
dbo,AWBuildVersion,ModifiedDate,datetime,No,No,No,,Timestamp indicating when the version record was last updated in the database.,,,
dbo,DatabaseLog,DatabaseLogID,int,No,Yes,No,,Primary identifier for each logged database event row.,,,
dbo,DatabaseLog,PostTime,datetime,No,No,No,,Timestamp when the database event was recorded or occurred.,,,
dbo,DatabaseLog,DatabaseUser,sysname,No,No,No,,Database principal under which the event was executed or logged.,,,
dbo,DatabaseLog,Event,sysname,No,No,No,,"Type of database event that was captured, such as table creation, index creation, or extended property changes.",,,
dbo,DatabaseLog,Schema,sysname,Yes,No,No,,Schema containing the affected object.,,,
dbo,DatabaseLog,Object,sysname,Yes,No,No,,Name of the affected database object.,,,
dbo,DatabaseLog,TSQL,nvarchar,No,No,No,,Exact T-SQL statement associated with the logged event.,,,
dbo,DatabaseLog,XmlEvent,xml,No,No,No,,Structured XML representation of the event details.,,,
dbo,ErrorLog,ErrorLogID,int,No,No,No,,"Surrogate identifier for each logged error event, likely the primary key for uniquely identifying log entries.",,,
dbo,ErrorLog,ErrorTime,datetime,No,No,No,,Date and time when the error was recorded.,,,
dbo,ErrorLog,UserName,sysname,No,No,No,,Name of the user or login context associated with the error.,,,
dbo,ErrorLog,ErrorNumber,int,No,No,No,,Numeric SQL Server error code or application error code.,,,
dbo,ErrorLog,ErrorSeverity,int,Yes,No,No,,Severity level of the error.,,,
dbo,ErrorLog,ErrorState,int,Yes,No,No,,State code associated with the error number.,,,
dbo,ErrorLog,ErrorProcedure,nvarchar,Yes,No,No,,Stored procedure or routine where the error occurred.,,,
dbo,ErrorLog,ErrorLine,int,Yes,No,No,,Line number within the procedure or batch where the error was raised.,,,
dbo,ErrorLog,ErrorMessage,nvarchar,No,No,No,,Full descriptive text of the error.,,,
HumanResources,Department,DepartmentID,smallint,No,Yes,No,,Unique identifier for each department record; serves as the stable key used by related tables to reference a department.,,,
HumanResources,Department,Name,Name,No,No,No,,"The department's human-readable name, such as Engineering, Sales, or Production.",,,
HumanResources,Department,GroupName,Name,No,No,No,,"A broader functional grouping for the department, used to categorize departments into business areas like Manufacturing or Sales and Marketing.",,,
HumanResources,Department,ModifiedDate,datetime,No,No,No,,Timestamp indicating when the department record was last modified or seeded in the database.,,,
HumanResources,Employee,BusinessEntityID,int,No,No,Yes,Person.BusinessEntity.BusinessEntityID,The employee's shared business entity identifier and the table's primary key; links each employee record to the base person/business entity record.,,,
HumanResources,Employee,NationalIDNumber,nvarchar,No,No,No,,Government-issued or internal national identification number used to uniquely identify the employee in HR records.,,,
HumanResources,Employee,LoginID,nvarchar,No,Yes,No,,Windows/domain login used by the employee to authenticate to company systems.,,,
HumanResources,Employee,OrganizationNode,hierarchyid,Yes,No,No,,Hierarchy path node representing the employee's position in the organizational tree.,,,
HumanResources,Employee,OrganizationLevel,smallint,Yes,No,No,,Numeric depth of the employee within the organization hierarchy.,,,
HumanResources,Employee,JobTitle,nvarchar,No,No,No,,The employee's current job title or role.,,,
HumanResources,Employee,BirthDate,date,No,No,No,,The employee's date of birth.,,,
HumanResources,Employee,MaritalStatus,nchar,No,No,No,,Marital status code for the employee.,,,
HumanResources,Employee,Gender,nchar,No,No,No,,Gender code for the employee.,,,
HumanResources,Employee,HireDate,date,No,No,No,,The date the employee was hired.,,,
HumanResources,Employee,SalariedFlag,Flag,No,No,No,,Indicates whether the employee is salaried rather than hourly.,,,
HumanResources,Employee,VacationHours,smallint,No,No,No,,Current accrued vacation leave balance in hours.,,,
HumanResources,Employee,SickLeaveHours,smallint,No,No,No,,Current accrued sick leave balance in hours.,,,
HumanResources,Employee,CurrentFlag,Flag,No,No,No,,Indicates whether the employee record is currently active/current.,,,
HumanResources,Employee,rowguid,uniqueidentifier,No,Yes,No,,System-generated unique row identifier used for replication and synchronization.,,,
HumanResources,Employee,ModifiedDate,datetime,No,No,No,,Timestamp of the last modification to the employee record.,,,
HumanResources,EmployeeDepartmentHistory,BusinessEntityID,int,No,No,Yes,HumanResources.Employee.BusinessEntityID,Identifies the employee whose department/shift assignment is being recorded.,,,
HumanResources,EmployeeDepartmentHistory,DepartmentID,smallint,No,No,Yes,HumanResources.Department.DepartmentID,Identifies the department the employee was assigned to during the recorded period.,,,
HumanResources,EmployeeDepartmentHistory,ShiftID,tinyint,No,No,Yes,HumanResources.Shift.ShiftID,Identifies the work shift associated with the employee's assignment.,,,
HumanResources,EmployeeDepartmentHistory,StartDate,date,No,Yes,No,,The date the employee began the department/shift assignment.,,,
HumanResources,EmployeeDepartmentHistory,EndDate,date,Yes,No,No,,"The date the employee's assignment ended, if it is no longer active.",,,
HumanResources,EmployeeDepartmentHistory,ModifiedDate,datetime,No,No,No,,Timestamp indicating when the history record was last updated.,,,
