Schema,Table,Column,Data Type,Is Nullable,Is Primary Key,Is Foreign Key,Foreign Key References,Description,Confidence %,Check Constraint,Default Value
dbo,AWBuildVersion,SystemInformationID,tinyint,No,Yes,No,,A surrogate primary key used to uniquely identify the system information record.,,,
dbo,AWBuildVersion,Database Version,nvarchar,No,No,No,,The specific version number or build identifier of the database schema.,,,
dbo,AWBuildVersion,VersionDate,datetime,No,No,No,,The date and time when the current database version was released or deployed.,,,
dbo,AWBuildVersion,ModifiedDate,datetime,No,No,No,,The date and time when the version record was last updated.,,,
dbo,DatabaseLog,DatabaseLogID,int,No,Yes,No,,Unique identifier for each log entry.,,,
dbo,DatabaseLog,PostTime,datetime,No,No,No,,The date and time when the database change was executed.,,,
dbo,DatabaseLog,DatabaseUser,sysname,No,No,No,,The database user account that performed the action.,,,
dbo,DatabaseLog,Event,sysname,No,No,No,,"The type of DDL event that triggered the log entry (e.g., CREATE_TABLE, ALTER_INDEX).",,,
dbo,DatabaseLog,Schema,sysname,Yes,No,No,,The database schema to which the affected object belongs.,,,
dbo,DatabaseLog,Object,sysname,Yes,No,No,,"The name of the database object (table, view, procedure, etc.) that was created or modified.",,,
dbo,DatabaseLog,TSQL,nvarchar,No,No,No,,The exact Transact-SQL command that was executed.,,,
dbo,DatabaseLog,XmlEvent,xml,No,No,No,,"The complete event data in XML format, providing detailed context about the environment and the change.",,,
dbo,ErrorLog,ErrorLogID,int,No,No,No,,Primary key for the error log entry,,,
dbo,ErrorLog,ErrorTime,datetime,No,No,No,,The date and time when the error occurred,,,
dbo,ErrorLog,UserName,sysname,No,No,No,,The database or application user who encountered the error,,,
dbo,ErrorLog,ErrorNumber,int,No,No,No,,The specific SQL Server error number,,,
dbo,ErrorLog,ErrorSeverity,int,Yes,No,No,,The severity level of the error (typically 0-25),,,
dbo,ErrorLog,ErrorState,int,Yes,No,No,,"The state code of the error, used to identify the specific location in the code that raised the error",,,
dbo,ErrorLog,ErrorProcedure,nvarchar,Yes,No,No,,The name of the stored procedure or trigger where the error occurred,,,
dbo,ErrorLog,ErrorLine,int,Yes,No,No,,The line number within the procedure or trigger where the error was raised,,,
dbo,ErrorLog,ErrorMessage,nvarchar,No,No,No,,The full text description of the error message,,,
HumanResources,Department,DepartmentID,smallint,No,Yes,No,,Primary key and unique identifier for each department.,,,
HumanResources,Department,Name,Name,No,No,No,,"The descriptive name of the specific department (e.g., 'Tool Design', 'Research and Development').",,,
HumanResources,Department,GroupName,Name,No,No,No,,"A high-level categorization used to group multiple departments into major business divisions (e.g., 'Manufacturing', 'Sales and Marketing').",,,
HumanResources,Department,ModifiedDate,datetime,No,No,No,,The date and time the department record was last updated.,,,
HumanResources,Employee,BusinessEntityID,int,No,No,Yes,Person.Person.BusinessEntityID,"Primary identifier for the employee, linking directly to their record in the Person.Person table.",,,
HumanResources,Employee,NationalIDNumber,nvarchar,No,No,No,,"A unique government-issued identification number for the employee (e.g., SSN).",,,
HumanResources,Employee,LoginID,nvarchar,No,Yes,No,,The employee's network or domain login credentials.,,,
HumanResources,Employee,OrganizationNode,hierarchyid,Yes,No,No,,A hierarchyid value representing the employee's position within the company's reporting structure.,,,
HumanResources,Employee,OrganizationLevel,smallint,Yes,No,No,,"The depth of the employee within the organizational hierarchy (e.g., 1 for executives, 4 for staff).",,,
HumanResources,Employee,JobTitle,nvarchar,No,No,No,,The official professional title of the employee.,,,
HumanResources,Employee,BirthDate,date,No,No,No,,"The employee's date of birth, used for age verification and HR records.",,,
HumanResources,Employee,MaritalStatus,nchar,No,No,No,,"The employee's marital status (M = Married, S = Single).",,,
HumanResources,Employee,Gender,nchar,No,No,No,,"The employee's gender (M = Male, F = Female).",,,
HumanResources,Employee,HireDate,date,No,No,No,,The date the employee was officially hired by the company.,,,
HumanResources,Employee,SalariedFlag,Flag,No,No,No,,Indicates whether the employee is paid a fixed salary (true) or hourly wages (false).,,,
HumanResources,Employee,VacationHours,smallint,No,No,No,,The current balance of accrued vacation time available to the employee.,,,
HumanResources,Employee,SickLeaveHours,smallint,No,No,No,,The current balance of accrued sick leave available to the employee.,,,
HumanResources,Employee,CurrentFlag,Flag,No,No,No,,Indicates if the employee is currently active (true) or has left the company (false).,,,
HumanResources,Employee,rowguid,uniqueidentifier,No,Yes,No,,Unique identifier used for database replication and synchronization.,,,
HumanResources,Employee,ModifiedDate,datetime,No,No,No,,The timestamp of the last time this record was updated.,,,
HumanResources,EmployeeDepartmentHistory,BusinessEntityID,int,No,No,Yes,HumanResources.Employee.BusinessEntityID,"Primary identifier for the employee, linking to the HumanResources.Employee table.",,,
HumanResources,EmployeeDepartmentHistory,DepartmentID,smallint,No,No,Yes,HumanResources.Department.DepartmentID,Identifier for the department the employee is or was assigned to.,,,
HumanResources,EmployeeDepartmentHistory,ShiftID,tinyint,No,No,Yes,HumanResources.Shift.ShiftID,"Identifier for the specific work shift (e.g., Day, Evening, Night) assigned to the employee.",,,
HumanResources,EmployeeDepartmentHistory,StartDate,date,No,Yes,No,,The date the employee began this specific department and shift assignment.,,,
HumanResources,EmployeeDepartmentHistory,EndDate,date,Yes,No,No,,The date the employee left this department or shift. A NULL value indicates the assignment is currently active.,,,
HumanResources,EmployeeDepartmentHistory,ModifiedDate,datetime,No,No,No,,The date and time the record was last updated.,,,
HumanResources,EmployeePayHistory,BusinessEntityID,int,No,Yes,Yes,HumanResources.Employee.BusinessEntityID,"Primary identifier for the employee, linking this record to their profile in the HumanResources.Employee table.",,,
HumanResources,EmployeePayHistory,RateChangeDate,datetime,No,Yes,No,,The effective date of the pay rate change.,,,
HumanResources,EmployeePayHistory,Rate,money,No,No,No,,The salary or hourly wage amount assigned to the employee starting on the RateChangeDate.,,,
HumanResources,EmployeePayHistory,PayFrequency,tinyint,No,No,No,,"A code indicating how often the employee is paid (e.g., 1 = Monthly, 2 = Bi-weekly).",,,
HumanResources,EmployeePayHistory,ModifiedDate,datetime,No,No,No,,The date and time the pay record was last updated in the system.,,,
HumanResources,JobCandidate,JobCandidateID,int,No,Yes,No,,Primary key for job candidate records,,,
HumanResources,JobCandidate,BusinessEntityID,int,Yes,No,Yes,HumanResources.Employee.BusinessEntityID,Foreign key linking the candidate to an employee record in HumanResources.Employee,,,
HumanResources,JobCandidate,Resume,xml,Yes,No,No,,"Detailed resume information stored in a structured XML format, including work history, education, and contact details",,,
HumanResources,JobCandidate,ModifiedDate,datetime,No,No,No,,The date and time the candidate record was last updated,,,
HumanResources,Shift,ShiftID,tinyint,No,Yes,No,,Primary key and unique identifier for a work shift.,,,
HumanResources,Shift,Name,Name,No,No,No,,"The descriptive name of the shift (e.g., Day, Evening, Night).",,,
HumanResources,Shift,StartTime,time,No,No,No,,The time of day the work shift is scheduled to begin.,,,
HumanResources,Shift,EndTime,time,No,No,No,,The time of day the work shift is scheduled to end.,,,
HumanResources,Shift,ModifiedDate,datetime,No,No,No,,The date the shift record was last updated.,,,
Person,Address,AddressID,int,No,Yes,No,,Unique identifier and primary key for each address record.,,,
Person,Address,AddressLine1,nvarchar,No,No,No,,The primary street address or P.O. Box information.,,,
Person,Address,AddressLine2,nvarchar,Yes,No,No,,"Additional address information such as apartment, suite, unit number, or department names.",,,
Person,Address,City,nvarchar,No,No,No,,The name of the city where the address is located.,,,
Person,Address,StateProvinceID,int,No,No,Yes,Person.StateProvince.StateProvinceID,"Foreign key linking the address to a specific state, province, or region defined in the Person.StateProvince table.",,,
Person,Address,PostalCode,nvarchar,No,No,No,,The postal or zip code for the address.,,,
Person,Address,SpatialLocation,geography,Yes,No,No,,"Geographic coordinates (latitude and longitude) for the address, used for spatial mapping and proximity queries.",,,
Person,Address,rowguid,uniqueidentifier,No,No,No,,"A unique identifier used for row-level tracking and synchronization, likely for database replication.",,,
Person,Address,ModifiedDate,datetime,No,No,No,,The date and time when the address record was last updated.,,,
Person,AddressType,AddressTypeID,int,No,Yes,No,,Primary key and unique identifier for each address category.,,,
Person,AddressType,Name,Name,No,No,No,,"The descriptive name of the address type (e.g., 'Shipping', 'Main Office').",,,
Person,AddressType,rowguid,uniqueidentifier,No,No,No,,A globally unique identifier used for row-level tracking and database replication.,,,
Person,AddressType,ModifiedDate,datetime,No,No,No,,The date and time when the record was last updated.,,,
Person,BusinessEntity,BusinessEntityID,int,No,Yes,No,,The primary unique identifier for any business-related entity in the system.,,,
Person,BusinessEntity,rowguid,uniqueidentifier,No,No,No,,"A globally unique identifier used for tracking the row across different databases, typically for merge replication.",,,
Person,BusinessEntity,ModifiedDate,datetime,No,No,No,,The date and time the record was last updated.,,,
Person,BusinessEntityAddress,BusinessEntityID,int,No,No,Yes,Person.BusinessEntity.BusinessEntityID,"Primary key and foreign key identifying the person, vendor, or store associated with the address.",,,
Person,BusinessEntityAddress,AddressID,int,No,No,Yes,Person.Address.AddressID,Primary key and foreign key identifying the specific physical location from the Person.Address table.,,,
Person,BusinessEntityAddress,AddressTypeID,int,No,No,Yes,Person.AddressType.AddressTypeID,"Primary key and foreign key identifying the category of the address (e.g., Home, Billing, Shipping, Office).",,,
Person,BusinessEntityAddress,rowguid,uniqueidentifier,No,Yes,No,,Unique identifier used for row-level synchronization and tracking across distributed databases.,,,
Person,BusinessEntityAddress,ModifiedDate,datetime,No,No,No,,The date and time the record was last updated.,,,
Person,BusinessEntityContact,BusinessEntityID,int,No,Yes,Yes,Person.BusinessEntity.BusinessEntityID,The unique identifier for the organization (such as a store or vendor) that the contact person is associated with.,,,
Person,BusinessEntityContact,PersonID,int,No,Yes,Yes,Person.Person.BusinessEntityID,The unique identifier for the individual person who serves as the contact for the business entity.,,,
Person,BusinessEntityContact,ContactTypeID,int,No,Yes,Yes,Person.ContactType.ContactTypeID,"The identifier for the specific role or job title the person holds at the business entity (e.g., 'Owner', 'Purchasing Manager').",,,
Person,BusinessEntityContact,rowguid,uniqueidentifier,No,Yes,No,,"ROWGUIDCOL number uniquely identifying the record, used for database replication.",,,
Person,BusinessEntityContact,ModifiedDate,datetime,No,No,No,,The date and time the record was last updated.,,,
Person,ContactType,ContactTypeID,int,No,Yes,No,,Primary key and unique identifier for each contact type.,,,
Person,ContactType,Name,Name,No,No,No,,"The descriptive name of the contact role or job title (e.g., 'Owner', 'Sales Agent').",,,
Person,ContactType,ModifiedDate,datetime,No,No,No,,The date and time the record was last updated.,,,
Person,CountryRegion,CountryRegionCode,nvarchar,No,Yes,No,,"A unique 2-character identifier for a country or region, typically following ISO 3166-1 alpha-2 standards.",,,
Person,CountryRegion,Name,Name,No,No,No,,"The full, formal name of the country or region.",,,
Person,CountryRegion,ModifiedDate,datetime,No,No,No,,The date and time the record was last updated.,,,
Person,EmailAddress,BusinessEntityID,int,No,No,Yes,Person.Person.BusinessEntityID,Primary identifier for the person or entity to whom the email address belongs; links to the Person.Person table.,,,
Person,EmailAddress,EmailAddressID,int,No,Yes,No,,A unique surrogate primary key for each email address record.,,,
Person,EmailAddress,EmailAddress,nvarchar,Yes,No,No,,"The actual electronic mail address string (e.g., user@adventure-works.com).",,,
Person,EmailAddress,rowguid,uniqueidentifier,No,No,No,,A unique identifier used for database replication and synchronization.,,,
Person,EmailAddress,ModifiedDate,datetime,No,No,No,,The date and time when the record was last updated.,,,
Person,Password,BusinessEntityID,int,No,No,Yes,Person.Person.BusinessEntityID,"The unique identifier for the person, acting as both the primary key and a link to the Person.Person table.",,,
Person,Password,PasswordHash,varchar,No,No,No,,"A cryptographically hashed version of the user's password, encoded in Base64.",,,
Person,Password,PasswordSalt,varchar,No,No,No,,A random string added to the password before hashing to protect against rainbow table attacks.,,,
Person,Password,rowguid,uniqueidentifier,No,Yes,No,,A unique identifier used for row-level tracking and database replication.,,,
Person,Password,ModifiedDate,datetime,No,No,No,,The date and time when the password was last updated.,,,
Person,Person,BusinessEntityID,int,No,No,Yes,Person.BusinessEntity.BusinessEntityID,"Primary key and foreign key to Person.BusinessEntity, uniquely identifying the person as a business entity.",,,
Person,Person,PersonType,nchar,No,No,No,,"A code indicating the role of the person: IN (Individual Customer), SC (Store Contact), GC (General Contact), EM (Employee), VC (Vendor Contact), or SP (Sales Person).",,,
Person,Person,NameStyle,NameStyle,No,No,No,,Indicates the display format for the name: 0 for Western (First Last) and 1 for Eastern (Last First).,,,
Person,Person,Title,nvarchar,Yes,No,No,,"A prefix or honorific for the person (e.g., Mr., Ms., Mrs.).",,,
Person,Person,FirstName,Name,No,No,No,,The individual's first or given name.,,,
Person,Person,MiddleName,Name,Yes,No,No,,The individual's middle name or initial.,,,
Person,Person,LastName,Name,No,No,No,,The individual's last name or surname.,,,
Person,Person,Suffix,nvarchar,Yes,No,No,,"A name suffix such as Jr., Sr., or PhD.",,,
Person,Person,EmailPromotion,int,No,No,No,,"Marketing preference code: 0 = No promotions, 1 = Promotions from AdventureWorks, 2 = Promotions from AdventureWorks and partners.",,,
Person,Person,AdditionalContactInfo,xml,Yes,No,No,,"XML data containing additional contact details such as secondary phone numbers, pagers, and specific contact instructions.",,,
Person,Person,Demographics,xml,Yes,No,No,,"XML data storing personal survey information including birth date, marital status, yearly income, education, and occupation.",,,
Person,Person,rowguid,uniqueidentifier,No,Yes,No,,A unique identifier used for database replication and synchronization.,,,
Person,Person,ModifiedDate,datetime,No,No,No,,The date and time the record was last updated.,,,
Person,PersonPhone,BusinessEntityID,int,No,Yes,Yes,Person.Person.BusinessEntityID,"Primary identifier for the person, acting as a foreign key to the Person.Person table.",,,
Person,PersonPhone,PhoneNumber,Phone,No,No,No,,"The actual telephone number string, including area codes and international formatting where applicable.",,,
Person,PersonPhone,PhoneNumberTypeID,int,No,Yes,Yes,Person.PhoneNumberType.PhoneNumberTypeID,"A reference to the type of phone number (e.g., Cell, Home, Work).",,,
Person,PersonPhone,ModifiedDate,datetime,No,No,No,,The date and time when the phone number record was last updated.,,,
Person,PhoneNumberType,PhoneNumberTypeID,int,No,Yes,No,,Primary key and unique identifier for each phone number type.,,,
Person,PhoneNumberType,Name,Name,No,No,No,,"The descriptive name of the phone number category (e.g., Cell, Home, Work).",,,
Person,PhoneNumberType,ModifiedDate,datetime,No,No,No,,The date and time the record was last updated.,,,
Person,StateProvince,StateProvinceID,int,No,Yes,No,,Primary key for the StateProvince table.,,,
Person,StateProvince,StateProvinceCode,nchar,No,No,No,,"The ISO or postal abbreviation for the state or province (e.g., 'WA' for Washington).",,,
Person,StateProvince,CountryRegionCode,nvarchar,No,No,Yes,Person.CountryRegion.CountryRegionCode,Foreign key linking the state/province to a specific country in Person.CountryRegion.,,,
Person,StateProvince,IsOnlyStateProvinceFlag,Flag,No,No,No,,"A flag indicating whether this is the only state or province record for the associated country, or potentially used to distinguish primary administrative divisions.",,,
Person,StateProvince,Name,Name,No,No,No,,The full descriptive name of the state or province.,,,
Person,StateProvince,TerritoryID,int,No,No,Yes,Sales.SalesTerritory.TerritoryID,Foreign key linking the state/province to a sales territory for sales reporting and management.,,,
Person,StateProvince,rowguid,uniqueidentifier,No,No,No,,Unique identifier used for database replication and synchronization.,,,
Person,StateProvince,ModifiedDate,datetime,No,No,No,,The date and time the record was last updated.,,,
Production,BillOfMaterials,BillOfMaterialsID,int,No,Yes,No,,Unique identifier for each Bill of Materials record.,,,
