Schema,Table,Description,Row Count,Dependency Level,Confidence %,User Approved,Business Domains,Inferred Purpose
dbo,AWBuildVersion,"dbo.AWBuildVersion stores the installed AdventureWorks database build/version metadata, acting as a one-row system table that records which database release is loaded and when that version information was created or last modified.",1,0,99,No,,
dbo,DatabaseLog,"dbo.DatabaseLog stores an audit trail of database DDL and metadata changes captured as XML event records. It exists to record when schema objects such as tables, views, procedures, indexes, constraints, and extended properties were created or altered, along with the exact T-SQL used and contextual details about the event.",1596,0,99,No,,
dbo,ErrorLog,"dbo.ErrorLog stores application or database error events captured for troubleshooting and auditing. Each row records when an error occurred, which user encountered it, the error number and severity details, the procedure and line where it happened, and the full error message.",0,0,99,No,,
HumanResources,Department,"HumanResources.Department stores the master list of organizational departments used by the human resources and operations modules. It serves as a lookup/reference table for assigning employees to departments over time and for reporting departments by broader functional groupings. In addition to individual department names, it organizes departments into six higher-level business functions: Executive General and Administration, Research and Development, Sales and Marketing, Quality Assurance, Manufacturing, and Inventory Management.",16,0,99,No,,
HumanResources,Employee,"HumanResources.Employee stores the core employee master record for each person employed by the organization, combining identity, login, job, personal, and employment-status attributes. It represents employees as a specialization of the shared business entity model, and serves as the parent record for related employee history such as department/shift assignments, pay history, sales quota history, and purchasing-related activity. It exists to track who is employed, their role, hire details, leave balances, and their participation in organizational and operational processes.",290,0,99,No,,
HumanResources,EmployeeDepartmentHistory,"HumanResources.EmployeeDepartmentHistory stores the assignment history of employees to departments and shifts over time. It records when an employee started in a department/shift combination, whether that assignment has ended, and when the record was last modified. The table exists to track organizational placement history rather than just the current assignment.",296,0,99,No,,
HumanResources,EmployeePayHistory,"HumanResources.EmployeePayHistory stores the historical pay rate records for employees over time. It exists to track when an employee's compensation changed, what the new rate was, and how often that rate is paid, enabling payroll history and compensation auditing.",316,1,99,No,,
HumanResources,JobCandidate,"HumanResources.JobCandidate stores recruiting application records for people who have applied for jobs, including their resume content and the person record they are associated with. It exists to capture candidate-specific hiring data separate from the core person master record in Person.Person.",13,0,99,No,,
HumanResources,Shift,"HumanResources.Shift stores the standard work shift definitions used by the HR system, including shift name and its start/end times. It acts as a small lookup table that classifies employee department history records by shift schedule.",3,0,99,No,,
Person,Address,"Person.Address stores postal and geographic address records used by people, businesses, and sales-related entities in the database. It acts as a shared address master so multiple records can reference the same standardized location information for shipping, billing, and contact purposes.",19614,0,99,No,,
