Schema,Table,Column,Data Type,Is Nullable,Is Primary Key,Is Foreign Key,Foreign Key References,Description,Confidence %,Check Constraint,Default Value
dbo,AWBuildVersion,SystemInformationID,tinyint,No,Yes,No,,Surrogate primary key for the table. Always contains the value 1 since this is a singleton table with exactly one row representing the current database build version.,,,
dbo,AWBuildVersion,Database Version,nvarchar,No,No,No,,"The version number of the AdventureWorks database schema, stored as a string in the format matching SQL Server version numbering (e.g., '15.0.4280.7'). This identifies the specific build or release of the database.",,,
dbo,AWBuildVersion,VersionDate,datetime,No,No,No,,The date and time when the current database version was officially released or created. Represents the timestamp of the version identified in the 'Database Version' column.,,,
dbo,AWBuildVersion,ModifiedDate,datetime,No,No,No,,"The date and time when this record was last updated. Tracks the most recent modification to the system information row, which may reflect when the database was last patched or the record was last touched.",,,
dbo,DatabaseLog,DatabaseLogID,int,No,Yes,No,,Surrogate primary key that uniquely identifies each DDL event log entry. Auto-incremented integer assigned to each logged database event.,,,
dbo,DatabaseLog,PostTime,datetime,No,No,No,,The date and time when the DDL event was captured and logged. Reflects the exact timestamp of the DDL statement execution.,,,
dbo,DatabaseLog,DatabaseUser,sysname,No,No,No,,The database user account that executed the DDL statement. Identifies who performed the schema change within the database context.,,,
dbo,DatabaseLog,Event,sysname,No,No,No,,"The type of DDL event that was captured. Identifies the category of schema change operation performed (e.g., CREATE_TABLE, ALTER_TABLE, CREATE_INDEX, CREATE_PROCEDURE, CREATE_VIEW, CREATE_FUNCTION, CREATE_TRIGGER, CREATE_EXTENDED_PROPERTY, etc.).",,,
dbo,DatabaseLog,Schema,sysname,Yes,No,No,,The database schema that owns the object affected by the DDL event. Identifies the organizational namespace of the modified database object.,,,
dbo,DatabaseLog,Object,sysname,Yes,No,No,,"The name of the specific database object affected by the DDL event, such as a table name, index name, constraint name, column name, function name, or procedure name.",,,
dbo,DatabaseLog,TSQL,nvarchar,No,No,No,,"The complete T-SQL statement that was executed and triggered the DDL event. Stores the exact SQL command text, including CREATE TABLE, ALTER TABLE, CREATE INDEX, EXECUTE sp_addextendedproperty, and other DDL statements.",,,
dbo,DatabaseLog,XmlEvent,xml,No,No,No,,"The full XML representation of the DDL event instance as captured by SQL Server's EVENTDATA() function within a DDL trigger. Contains comprehensive event metadata including event type, timestamp, server name, SPID, login name, database name, schema name, object name, object type, and the complete T-SQL command with session SET options.",,,
dbo,ErrorLog,ErrorLogID,int,No,No,No,,The primary key and unique identifier for each error log entry. Auto-incremented integer that uniquely identifies each recorded error event.,,,
dbo,ErrorLog,ErrorTime,datetime,No,No,No,,The date and time when the error occurred. Records the exact timestamp of the error event for chronological tracking and debugging.,,,
dbo,ErrorLog,UserName,sysname,No,No,No,,The database username of the user whose session triggered the error. Identifies which user or service account was executing code when the error occurred.,,,
dbo,ErrorLog,ErrorNumber,int,No,No,No,,The SQL Server error number associated with the error. Corresponds to the value returned by the ERROR_NUMBER() function within a TRY/CATCH block.,,,
dbo,ErrorLog,ErrorSeverity,int,Yes,No,No,,"The severity level of the error, ranging from 0 to 25 in SQL Server. Higher values indicate more critical errors. Nullable because some errors may not have an associated severity.",,,
dbo,ErrorLog,ErrorState,int,Yes,No,No,,"The state number of the error, which provides additional context about the error's origin within SQL Server. Nullable as not all errors have a meaningful state value.",,,
dbo,ErrorLog,ErrorProcedure,nvarchar,Yes,No,No,,"The name of the stored procedure or trigger in which the error occurred. Nullable because errors can occur outside of stored procedures (e.g., in ad-hoc batches).",,,
dbo,ErrorLog,ErrorLine,int,Yes,No,No,,"The line number within the stored procedure, trigger, or batch at which the error occurred. Nullable for cases where a line number cannot be determined.",,,
dbo,ErrorLog,ErrorMessage,nvarchar,No,No,No,,The full text of the error message describing what went wrong. This is the human-readable description of the error event.,,,
HumanResources,Department,DepartmentID,smallint,No,Yes,No,,"The primary key and unique identifier for each department. A small integer auto-incremented from 1 to 16, uniquely identifying each of the 16 departments in the organization.",,,
HumanResources,Department,Name,Name,No,No,No,,"The full descriptive name of the department (e.g., 'Sales', 'Engineering', 'Human Resources'). This is the human-readable identifier used to distinguish departments.",,,
HumanResources,Department,GroupName,Name,No,No,No,,"The higher-level functional group or division to which the department belongs (e.g., 'Manufacturing', 'Sales and Marketing', 'Executive General and Administration'). Groups multiple departments under a common organizational umbrella.",,,
HumanResources,Department,ModifiedDate,datetime,No,No,No,,The date and time when the department record was last modified. Used for auditing and change tracking purposes.,,,
HumanResources,Employee,BusinessEntityID,int,No,No,Yes,Person.Person.BusinessEntityID,"Primary key and foreign key to Person.Person.BusinessEntityID. Uniquely identifies each employee and links the employee record to the corresponding person record, enabling access to name, contact, and demographic information stored in Person.Person.",,,
HumanResources,Employee,NationalIDNumber,nvarchar,No,No,No,,"The employee's national identification number (e.g., Social Security Number in the US). Used for payroll, tax, and legal identification purposes.",,,
HumanResources,Employee,LoginID,nvarchar,No,Yes,No,,"The employee's network login identifier in domain\username format (e.g., 'adventure-works\michael9'). Used for system authentication and access control.",,,
HumanResources,Employee,OrganizationNode,hierarchyid,Yes,No,No,,A hierarchyid value representing the employee's position in the organizational hierarchy tree. Encodes the full path from the root of the organization to this employee's node.,,,
HumanResources,Employee,OrganizationLevel,smallint,Yes,No,No,,"A computed or stored integer indicating the depth of the employee's node in the organizational hierarchy. Level 1 is the top (e.g., CEO), and higher numbers represent lower levels (e.g., 4 = front-line worker).",,,
HumanResources,Employee,JobTitle,nvarchar,No,No,No,,"The official job title of the employee within the organization (e.g., 'Production Technician - WC60', 'Design Engineer', 'Pacific Sales Manager').",,,
HumanResources,Employee,BirthDate,date,No,No,No,,"The employee's date of birth. Used for age verification, benefits eligibility, and HR compliance purposes.",,,
HumanResources,Employee,MaritalStatus,nchar,No,No,No,,"The employee's marital status, encoded as a single character: 'M' for Married, 'S' for Single.",,,
HumanResources,Employee,Gender,nchar,No,No,No,,"The employee's gender, encoded as a single character: 'M' for Male, 'F' for Female.",,,
HumanResources,Employee,HireDate,date,No,No,No,,"The date the employee was hired by the company. Used for tenure calculations, benefits eligibility, and HR reporting.",,,
HumanResources,Employee,SalariedFlag,Flag,No,No,No,,Indicates whether the employee is salaried (true) or hourly/non-salaried (false). Determines payroll processing method.,,,
HumanResources,Employee,VacationHours,smallint,No,No,No,,The number of vacation hours the employee has accrued or is entitled to. Used for leave management and payroll.,,,
HumanResources,Employee,SickLeaveHours,smallint,No,No,No,,The number of sick leave hours the employee has accrued or is entitled to. Used for leave management and HR compliance.,,,
HumanResources,Employee,CurrentFlag,Flag,No,No,No,,"Indicates whether the employee is currently active (true) or has been terminated/separated (false). All 290 rows have a value of true, meaning this table only contains current employees.",,,
HumanResources,Employee,rowguid,uniqueidentifier,No,Yes,No,,"A globally unique identifier (GUID) for the employee record. Used for replication, data synchronization, and uniquely identifying rows across distributed systems.",,,
HumanResources,Employee,ModifiedDate,datetime,No,No,No,,The date and time when the employee record was last modified. Used for auditing and change tracking.,,,
HumanResources,EmployeeDepartmentHistory,BusinessEntityID,int,No,No,Yes,HumanResources.Employee.BusinessEntityID,Foreign key referencing the employee (HumanResources.Employee.BusinessEntityID). Identifies which employee this department/shift assignment belongs to.,,,
HumanResources,EmployeeDepartmentHistory,DepartmentID,smallint,No,No,Yes,HumanResources.Department.DepartmentID,Foreign key referencing HumanResources.Department. Identifies the department the employee was assigned to during this period.,,,
HumanResources,EmployeeDepartmentHistory,ShiftID,tinyint,No,No,Yes,HumanResources.Shift.ShiftID,"Foreign key referencing HumanResources.Shift. Identifies the work shift (Day=1, Evening=2, Night=3) the employee worked during this assignment period.",,,
HumanResources,EmployeeDepartmentHistory,StartDate,date,No,Yes,No,,"The date on which the employee began working in the specified department and shift. Together with EndDate, defines the duration of this assignment.",,,
HumanResources,EmployeeDepartmentHistory,EndDate,date,Yes,No,No,,"The date on which the employee's assignment to this department and shift ended. NULL indicates the assignment is currently active. Only 6 distinct non-null values exist, representing the few employees who have changed departments or left.",,,
HumanResources,EmployeeDepartmentHistory,ModifiedDate,datetime,No,No,No,,The date and time the record was last modified. Used for auditing and change tracking purposes.,,,
HumanResources,EmployeePayHistory,BusinessEntityID,int,No,Yes,Yes,HumanResources.Employee.BusinessEntityID,The unique identifier of the employee whose pay rate is being recorded. Part of the composite primary key and a foreign key referencing HumanResources.Employee.BusinessEntityID.,,,
HumanResources,EmployeePayHistory,RateChangeDate,datetime,No,Yes,No,,"The effective date on which the pay rate change took effect. Together with BusinessEntityID, forms the composite primary key, allowing multiple pay rate records per employee over time.",,,
HumanResources,EmployeePayHistory,Rate,money,No,No,No,,"The hourly pay rate for the employee effective from the RateChangeDate. Stored as a money data type, with values ranging from approximately $6.50 to $37.50 per hour.",,,
HumanResources,EmployeePayHistory,PayFrequency,tinyint,No,No,No,,"Indicates how frequently the employee is paid. Only two values exist: 1 = Monthly pay cycle, 2 = Bi-weekly (every two weeks) pay cycle.",,,
HumanResources,EmployeePayHistory,ModifiedDate,datetime,No,No,No,,The date and time the record was last modified. Standard audit column used across AdventureWorks tables to track when data was last updated.,,,
HumanResources,JobCandidate,JobCandidateID,int,No,Yes,No,,Surrogate primary key uniquely identifying each job candidate record. Auto-incremented integer assigned when a new candidate application is created.,,,
HumanResources,JobCandidate,BusinessEntityID,int,Yes,No,Yes,HumanResources.Employee.BusinessEntityID,Optional foreign key linking a job candidate to an existing employee in HumanResources.Employee. NULL for candidates who have not been hired; populated when a candidate is subsequently hired and becomes an employee.,,,
HumanResources,JobCandidate,Resume,xml,Yes,No,No,,"Structured XML document containing the candidate's full resume, including personal name, professional skills summary, employment history (employer, job title, responsibilities, dates, location), education (degree, school, GPA, dates), contact address, phone numbers, email, and website. Resumes appear in multiple languages including English, Chinese (Simplified), French, and Thai.",,,
HumanResources,JobCandidate,ModifiedDate,datetime,No,No,No,,Timestamp recording when the job candidate record was last modified. Used for auditing and change tracking purposes.,,,
HumanResources,Shift,ShiftID,tinyint,No,Yes,No,,"The primary key uniquely identifying each work shift. A small integer (tinyint) appropriate for a small, fixed set of shift types.",,,
HumanResources,Shift,Name,Name,No,No,No,,"The human-readable name of the shift (Day, Evening, Night), used for display and identification purposes.",,,
HumanResources,Shift,StartTime,time,No,No,No,,"The time of day when the shift begins. Day shift starts at 07:00, Evening at 15:00, and Night at 23:00.",,,
HumanResources,Shift,EndTime,time,No,No,No,,"The time of day when the shift ends. Day shift ends at 15:00, Evening at 23:00, and Night at 07:00 (next day).",,,
HumanResources,Shift,ModifiedDate,datetime,No,No,No,,"The date and time when the shift record was last modified. All records share the same date (2008-04-30), indicating they were created or last updated together as seed data.",,,
Person,Address,AddressID,int,No,Yes,No,,Surrogate primary key uniquely identifying each address record in the system.,,,
Person,Address,AddressLine1,nvarchar,No,No,No,,"The primary street address line, typically containing the street number and street name.",,,
Person,Address,AddressLine2,nvarchar,Yes,No,No,,"Optional secondary address line for suite numbers, apartment numbers, department names, or other supplementary address information.",,,
Person,Address,City,nvarchar,No,No,No,,The city or municipality name for the address.,,,
Person,Address,StateProvinceID,int,No,No,Yes,Person.StateProvince.StateProvinceID,"Foreign key referencing Person.StateProvince, identifying the state, province, or other sub-national geographic division for the address.",,,
Person,Address,PostalCode,nvarchar,No,No,No,,"The postal or ZIP code for the address, stored as a string to accommodate international formats.",,,
Person,Address,SpatialLocation,geography,Yes,No,No,,"Geographic coordinates (latitude/longitude) of the address stored as a SQL Server geography type using the WGS84 coordinate system (SRID 4326), enabling spatial queries and mapping.",,,
Person,Address,rowguid,uniqueidentifier,No,No,No,,"A globally unique identifier (GUID) for the address row, used for replication and row-level identification across distributed systems.",,,
Person,Address,ModifiedDate,datetime,No,No,No,,"The date and time when the address record was last modified, used for auditing and change tracking.",,,
