Schema,Table,Description,Row Count,Dependency Level,Confidence %,User Approved,Business Domains,Inferred Purpose
inv,adj,"The inv.adj table records manual or system-generated inventory adjustments used to reconcile physical stock with the digital ledger. It tracks changes in product quantities due to non-standard events such as damage, expiration, theft (shrinkage), or administrative corrections.",300,1,98,No,,
inv,cat,"Stores a hierarchical product categorization system used to organize inventory items into at least 11 distinct groups, covering domains such as office furniture, computer hardware, and stationery. While the schema supports multi-level nesting via a self-referencing structure, it is currently utilized as a shallow two-level hierarchy (Parent/Child) to group products into broad departments and specific sub-categories.",20,0,100,No,,
inv,cnt,Stores the results of physical inventory counts (cycle counts) performed at specific warehouses. It records the discrepancy between the system's expected stock levels and the actual physical quantities found during an audit.,250,1,95,No,,
inv,po,"Stores purchase order header information, representing formal requests sent to suppliers for goods or services. It tracks the overall order lifecycle, including dates, total costs, shipping fees, and fulfillment status.",150,1,95,No,,
inv,po_dtl,"The inv.po_dtl table stores the line-item details for purchase orders. It acts as a bridge between purchase order headers (inv.po) and products (inv.prd), specifying the quantity of each product ordered, the agreed price, and tracking the quantity actually received.",750,1,100,No,,
inv,prd,"The central product master table (inv.prd) that stores detailed information for all items in the inventory catalog, including identification, pricing, physical attributes, and categorization.",177,1,100,No,,
inv,rcv,"Stores header-level records for inventory receiving transactions. This table documents the arrival of goods from suppliers (linked via purchase orders) into specific warehouse locations, capturing the date of receipt and any relevant processing notes.",120,0,100,No,,
inv,stk,"The inv.stk table serves as the central inventory ledger, tracking real-time stock levels, reservations, and replenishment thresholds for every product across all physical warehouse locations. It functions as the authoritative source for expected stock levels during physical counts and is the primary table updated by variance adjustments following inventory audits.",1120,0,98,No,,
inv,sup,"A master data table storing information about external business partners, including both product vendors/suppliers and commission-based sales representatives or agents. It maintains contact details, account status, payment terms, and performance ratings to support procurement workflows and customer account management.",25,0,95,No,,
inv,whs,"A foundational lookup table defining the 8 active physical warehouse locations within a distributed supply chain. It stores master data including geographic details, storage capacity, and operational status for all nodes currently managing the complete inventory lifecycle, from receipt and storage to outbound fulfillment.",8,0,100,No,,
sales,addr,"Stores physical address information for customers, supporting multiple address types (Shipping, Billing, Office) per customer and identifying primary/default locations.",800,2,95,No,,
sales,cst,"The central master data table for customers, serving as the hub for a normalized contact architecture including multiple addresses, emails, and phone numbers. It manages customer identity, market segmentation, and financial standing, specifically supporting a balance-forward accounting model where credit-based invoicing (e.g., N30, N45) is complemented by the ability to apply payments as general account credits independent of specific orders.",500,1,99,No,,
sales,cst_note,"A log of customer interactions and administrative notes. This table tracks various touchpoints such as meetings, emails, and phone calls, providing a history of engagement and status updates for each client in the sales system.",450,0,95,No,,
sales,eml,"Stores email contact information for customers, allowing for multiple email addresses per customer with classification, verification status, and primary contact designation.",550,2,100,No,,
sales,oli,"This table stores the individual line items for sales orders. It acts as a detail table for sales.ord, breaking down each order into specific products, quantities, and prices. It serves as the bridge between the sales transaction and the inventory stock.",6998,3,95,No,,
sales,ord,"Stores header-level information for sales orders, serving as the central record for the transaction lifecycle. It manages financial totals, taxes, and payment terms, supporting multiple payment transactions (e.g., attempts or refunds) per order. The table follows a strict 1:1 fulfillment model where each order corresponds to exactly one shipment, and typically aggregates a small number of line items (averaging 3-4).",2000,2,99,No,,
sales,phn,"Stores contact phone numbers associated with customers, supporting multiple phone types per customer and identifying a primary contact number.",600,2,100,No,,
sales,pmt,"This table, sales.pmt, functions as a ledger for customer payment transactions. It records the financial amounts received, the payment methods used, and the status of each transaction, linking them to specific customers and, where applicable, specific sales orders.",2200,3,100,No,,
sales,rtn,"The sales.rtn table functions as a return management system, tracking customer returns for specific products purchased. It records the reason for the return, the quantity and monetary value being refunded, the processing status, and links each return back to the original order and specific line item.",150,0,95,No,,
sales,shp,"The sales.shp table functions as the shipment tracking and logistics ledger for the sales domain. It records the fulfillment details for every sales.ord, including the originating warehouse, carrier selection, tracking information, and the physical characteristics of the package (weight and cost).",1500,3,95,No,,
